ITMS_CD_NBR,STCK_KOR_NM,DMD_FRCS_START_DT,DMD_FRCS_END_DT,SBSC_START_DT,SBSC_CLSG_DT,PYM_DT,DRBC_DT,STCK_LSTN_DT,LWEN_SCDL_PBOF_AMT,TPPO_SCDL_PBOF_AMT,CNFM_PBOF_AMT,PBOF_STCK_CNT,SBSC_RVLR_RT,RPRS_SPIC_COM_NM,JOINT_SPIC_COM_NM,RBPE_COM_NM,FSS_RCIP_NBR,STCK_FACE_AMT,AISS_GNRL_STCK_CNT,AISS_PRTY_STCK_CNT,NMN_RRT_PROXY_INST_NM,DMD_FRCS_RVLR_RT,OBLG_DFPN_APLCT_RATE
436530,케이비제22호스팩,20220905,20220906,20220913,20220914,20220916,20220916,20220922,"2,000","2,000","2,000","5,000,000",210,KB증권,,,20220908000411,100,"220,000",0,국민은행,"1,210",25
437780,엔에이치스팩24호,20221004,20221005,20221011,20221012,20221014,20221014,20221020,"2,000","2,000","2,000","4,300,000",193,NH투자,,,20221007000095,100,"730,000",0,국민은행,"1,159",23
391710,엔에이치스팩21호,20210928,20210929,20211005,20211006,20211008,20211008,20211015,"2,000","2,000","2,000","6,250,000",448,NH투자,,,20211001000377,100,"1,210,000",0,국민은행,0,0
389140,포바이포,20220414,20220415,20220419,20220420,20220422,20220422,20220428,"11,000","14,000","17,000","1,774,967","3,763",미래에셋,,,20220418000196,500,"8,580,985",0,국민은행,"1,846",56
382840,원준,20210915,20210916,20210927,20210928,20210930,20210930,20211007,"52,000","60,000","65,000","1,004,807","1,623",NH투자,,,20210917000579,100,"4,000,000",0,국민은행,0,0
388220,하나금융19호스팩,20210915,20210916,20210927,20210928,20210930,20210930,20211007,"2,000","2,000","2,000","5,500,000",96,하나금융투자,,,20210924000147,100,"810,000",0,,0,0
382480,지아이텍,20211005,20211006,20211012,20211013,20211015,20211015,20211021,"11,500","13,100","14,000","2,700,000","2,968",미래에셋,,,20211008000321,500,"5,800,000",0,한국예탁결제원,0,0
389030,지니너스,20211021,20211022,20211027,20211028,20211101,20211101,20211108,"24,700","32,200","20,000","2,000,000","1,229",대신,,NH투자,20211026000304,500,"8,869,315",0,국민은행,0,0
139990,아주스틸,20210802,20210803,20210809,20210810,20210812,20210812,20210820,"12,700","15,100","15,100","6,937,500","1,420",미래에셋,,,20210805000205,500,"22,452,189",0,국민은행,0,0
418170,하나금융22호스팩,20220511,20220512,20220517,20220518,20220520,20220520,20220526,"2,000","2,000","2,000","5,000,000",590,하나금융투자,,,20220516000120,100,"1,010,000",0,한국예탁결제원,"1,277",0
412350,레이저쎌,20220609,20220610,20220614,20220615,20220617,20220617,20220624,"12,000","14,000","16,000","1,600,000","1,845",삼성,,,20220613000057,500,"6,777,772",0,국민은행,"1,443",12
328130,루닛,20220707,20220708,20220712,20220713,20220715,20220715,20220721,"44,000","49,000","30,000","1,215,800",9,NH투자,,,20220711000248,500,"9,270,740","1,637,726",한국예탁결제원,7,2
148930,에이치와이티씨,20220721,20220722,20220728,20220729,20220802,20220802,20220809,"13,000","15,000","15,000","2,260,000",433,신영,,"유진증권,현대차증권",20220726000136,500,"7,749,047",0,한국예탁결제원,"1,481",6
436610,한국제11호스팩,20221004,20221005,20221011,20221012,20221014,20221014,20221020,"2,000","2,000","2,000","5,000,000",141,한국투자,,,20221007000091,100,"1,020,000",0,국민은행,"1,194",20
389500,에스비비테크,20220928,20220929,20221005,20221006,20221011,20221011,20221017,"12,400","10,100","12,400","1,800,000","1,658",미래에셋,,,20221004000084,500,"4,477,600",0,국민은행,"1,644",27
368970,오에스피,20220927,20220928,20221004,20221005,20221007,20221007,20221014,"6,300","8,400","8,400","2,056,000","1,019",대신,,,20220930000626,500,"7,228,480",0,한국예탁결제원,"1,583",5
372800,아이티아이즈,20211025,20211026,20211101,20211102,20211104,20211104,20211111,"12,500","14,300","14,300","1,777,000",593,신한,,,20211028000371,500,"4,066,670","200,010",국민은행,0,0
089860,롯데렌탈,20210803,20210804,20210809,20210810,20210812,20210812,20210819,"47,000","59,000","59,000","14,422,000",66,"NH투자,한국투자",KB증권,"미래에셋,삼성,신한,키움,하나금융투자",20210806000291,"5,000","29,423,000",0,한국예탁결제원,0,0
419270,신영해피투모로우제7호스팩,20220413,20220414,20220418,20220419,20220421,20220421,20220428,"2,000","2,000","2,000","4,200,000",141,신영,,,20220415000337,100,"105,000",0,국민은행,"1,240",29
449020,유안타제13호스팩,20230213,20230214,20230216,20230217,20230221,20230221,20230228,"2,000","2,000","2,000","8,500,000",16,유안타,,,20230215000427,100,"1,230,000",0,국민은행,249,14
344860,이노진,20230206,20230207,20230209,20230210,20230214,20230214,20230220,"2,500","3,000","3,000","2,600,000","1,644",IBK투자,,,20230208000172,100,"9,300,000",0,국민은행,"1,603",6
442900,미래에셋드림스팩1호,20230227,20230228,20230306,20230307,20230309,20230309,20230315,"10,000","10,000","10,000","7,000,000",0,미래에셋,,,20230303000426,500,"680,000",0,국민은행,63,2
393210,토마토시스템,20230410,20230411,20230418,20230419,20230421,20230421,20230427,"18,200","22,200","18,200","860,000",266,교보,,,20230414000088,500,"4,291,222",0,국민은행,363,4
417790,트루엔,20230427,20230428,20230508,20230509,20230511,20230511,20230517,"10,000","12,000","12,000","2,500,000","1,482",미래에셋,,,20230503000315,100,"8,424,650",0,국민은행,"1,689",8
372170,윤성에프앤씨,20221026,20221027,20221102,20221103,20221107,20221107,20221114,"53,000","62,000","49,000","1,994,762",2,미래에셋,,,20221031000463,100,"6,283,500",0,하나은행,67,0
445970,신영해피투모로우제9호스팩,20221212,20221213,20221215,20221216,20221220,20221220,20221227,"2,000","2,000","2,000","5,150,000",1,신영,,,20221214000279,100,"210,000",0,국민은행,10,10
389020,자람테크놀로지,20230215,20230215,20230222,20230223,20230227,20230227,20230307,"16,000","20,000","22,000","930,000","1,031",신영,,,20230220002105,500,"5,239,830",0,국민은행,"1,702",11
